Freq.	V(vout)
1.65958690743755e+002	(1.15078828074470e-002dB,-3.83800330171384e-001°)
1.69824365246173e+002	(1.20574026909275e-002dB,-3.92765112748596e-001°)
1.73780082874936e+002	(1.26328566637070e-002dB,-4.01940497956515e-001°)
1.77827941003891e+002	(1.32354704412971e-002dB,-4.11331519515935e-001°)
1.81970085860997e+002	(1.38665278418311e-002dB,-4.20943337615135e-001°)
1.86208713666286e+002	(1.45273735569061e-002dB,-4.30781242521110e-001°)
1.90546071796323e+002	(1.52194160562067e-002dB,-4.40850658323404e-001°)
1.94984459975803e+002	(1.59441306324284e-002dB,-4.51157146816981e-001°)
1.99526231496887e+002	(1.67030625935685e-002dB,-4.61706411531357e-001°)
2.04173794466952e+002	(1.74978306097801e-002dB,-4.72504301913461e-001°)
2.08929613085403e+002	(1.83301302225960e-002dB,-4.83556817671938e-001°)
2.13796208950222e+002	(1.92017375244817e-002dB,-4.94870113292126e-001°)
2.18776162394954e+002	(2.01145130174062e-002dB,-5.06450502729758e-001°)
2.23872113856832e+002	(2.10704056592322e-002dB,-5.18304464294111e-001°)
2.29086765276776e+002	(2.20714571074873e-002dB,-5.30438645730077e-001°)
2.34422881531991e+002	(2.31198061704242e-002dB,-5.42859869510661e-001°)
2.39883291901947e+002	(2.42176934758369e-002dB,-5.55575138351358e-001°)
2.45470891568501e+002	(2.53674663687165e-002dB,-5.68591640959160e-001°)
2.51188643150956e+002	(2.65715840493260e-002dB,-5.81916758029464e-001°)
2.57039578276885e+002	(2.78326229640547e-002dB,-5.95558068505159e-001°)
2.63026799189536e+002	(2.91532824619149e-002dB,-6.09523356113325e-001°)
2.69153480392690e+002	(3.05363907303882e-002dB,-6.23820616195790e-001°)
2.75422870333815e+002	(3.19849110250367e-002dB,-6.38458062851201e-001°)
2.81838293126443e+002	(3.35019482080508e-002dB,-6.53444136407271e-001°)
2.88403150312659e+002	(3.50907556118646e-002dB,-6.68787511243322e-001°)
2.95120922666637e+002	(3.67547422447879e-002dB,-6.84497103984656e-001°)
3.01995172040200e+002	(3.84974803565484e-002dB,-7.00582082091992e-001°)
3.09029543251357e+002	(4.03227133828255e-002dB,-7.17051872870528e-001°)
3.16227766016836e+002	(4.22343642887161e-002dB,-7.33916172925518e-001°)
3.23593656929626e+002	(4.42365443324206e-002dB,-7.51184958092418e-001°)
3.31131121482589e+002	(4.63335622716385e-002dB,-7.68868493872984e-001°)
3.38844156139200e+002	(4.85299340363538e-002dB,-7.86977346409774e-001°)
3.46736850452529e+002	(5.08303928934010e-002dB,-8.05522394034443e-001°)
3.54813389233573e+002	(5.32399001292652e-002dB,-8.24514839428734e-001°)
3.63078054770099e+002	(5.57636562797658e-002dB,-8.43966222438099e-001°)
3.71535229097170e+002	(5.84071129363713e-002dB,-8.63888433583236e-001°)
3.80189396320558e+002	(6.11759851612643e-002dB,-8.84293728316450e-001°)
3.89045144994278e+002	(6.40762645449359e-002dB,-9.05194742074625e-001°)
3.98107170553494e+002	(6.71142329423280e-002dB,-9.26604506183958e-001°)
4.07380277804110e+002	(7.02964769258537e-002dB,-9.48536464676650e-001°)
4.16869383470332e+002	(7.36299029959385e-002dB,-9.71004492083559e-001°)
4.26579518801589e+002	(7.71217535924984e-002dB,-9.94022912273063e-001°)
4.36515832240163e+002	(8.07796239535186e-002dB,-1.01760651841143e+000°)
4.46683592150960e+002	(8.46114798698882e-002dB,-1.04177059412628e+000°)
4.57088189614872e+002	(8.86256763890200e-002dB,-1.06653093596133e+000°)
4.67735141287195e+002	(9.28309775232485e-002dB,-1.09190387721862e+000°)
4.78630092322635e+002	(9.72365770227764e-002dB,-1.11790631329118e+000°)
4.89778819368443e+002	(1.01852120277142e-001dB,-1.14455572859911e+000°)
5.01187233627268e+002	(1.06687727413471e-001dB,-1.17187022525112e+000°)
5.12861383991361e+002	(1.11754017664715e-001dB,-1.19986855356381e+000°)
5.24807460249769e+002	(1.17062135086133e-001dB,-1.22857014458302e+000°)
5.37031796370249e+002	(1.22623775704114e-001dB,-1.25799514476370e+000°)
5.49540873857620e+002	(1.28451216187157e-001dB,-1.28816445297910e+000°)
5.62341325190345e+002	(1.34557344135941e-001dB,-1.31909976004491e+000°)
5.75439937337152e+002	(1.40955690096167e-001dB,-1.35082359096093e+000°)
5.88843655355584e+002	(1.47660461405937e-001dB,-1.38335935009096e+000°)
6.02559586074353e+002	(1.54686577997851e-001dB,-1.41673136952283e+000°)
6.16595001861477e+002	(1.62049710285336e-001dB,-1.45096496087160e+000°)
6.30957344480188e+002	(1.69766319272795e-001dB,-1.48608647081473e+000°)
6.45654229034650e+002	(1.77853699040159e-001dB,-1.52212334067526e+000°)
6.60693448007591e+002	(1.86330021764768e-001dB,-1.55910417039863e+000°)
6.76082975391976e+002	(1.95214385456339e-001dB,-1.59705878730346e+000°)
6.91830970918931e+002	(2.04526864595536e-001dB,-1.63601832002323e+000°)
7.07945784384132e+002	(2.14288563882550e-001dB,-1.67601527809671e+000°)
7.24435960074984e+002	(2.24521675319238e-001dB,-1.71708363771245e+000°)
7.41310241300911e+002	(2.35249538867955e-001dB,-1.75925893416220e+000°)
7.58577575029177e+002	(2.46496706950876e-001dB,-1.80257836161746e+000°)
7.76247116628685e+002	(2.58289013077149e-001dB,-1.84708088090396e+000°)
7.94328234724275e+002	(2.70653644910710e-001dB,-1.89280733602447e+000°)
8.12830516164092e+002	(2.83619222119785e-001dB,-1.93980058025587e+000°)
8.31763771102664e+002	(2.97215879380631e-001dB,-1.98810561274012e+000°)
8.51138038202369e+002	(3.11475354942445e-001dB,-2.03776972658577e+000°)
8.70963589956073e+002	(3.26431085198905e-001dB,-2.08884266961299e+000°)
8.91250938133738e+002	(3.42118305754467e-001dB,-2.14137681900037e+000°)
9.12010839355902e+002	(3.58574159520719e-001dB,-2.19542737123626e+000°)
9.33254300796983e+002	(3.75837812431006e-001dB,-2.25105254894161e+000°)
9.54992586021428e+002	(3.93950577420280e-001dB,-2.30831382631185e+000°)
9.77237220955802e+002	(4.12956047382596e-001dB,-2.36727617513879e+000°)
9.99999999999991e+002	(4.32900237892235e-001dB,-2.42800833360558e+000°)
1.02329299228075e+003	(4.53831740556367e-001dB,-2.49058310032263e+000°)
1.04712854805089e+003	(4.75801887959335e-001dB,-2.55507765637609e+000°)
1.07151930523760e+003	(4.98864931262067e-001dB,-2.62157391851520e+000°)
