Freq.	V(vout)
6.30957344480190e+001	(-3.02018924263889e+000dB,1.78327956282605e+002°)
6.45654229034652e+001	(-3.01994522382383e+000dB,1.78288949866733e+002°)
6.60693448007593e+001	(-3.01968971166231e+000dB,1.78249030615624e+002°)
6.76082975391978e+001	(-3.01942216515818e+000dB,1.78208176961680e+002°)
6.91830970918933e+001	(-3.01914201788373e+000dB,1.78166366813085e+002°)
7.07945784384134e+001	(-3.01884867678752e+000dB,1.78123577540020e+002°)
7.24435960074986e+001	(-3.01854152094650e+000dB,1.78079785960455e+002°)
7.41310241300914e+001	(-3.01821990026010e+000dB,1.78034968325485e+002°)
7.58577575029180e+001	(-3.01788313408344e+000dB,1.77989100304195e+002°)
7.76247116628688e+001	(-3.01753050979704e+000dB,1.77942156968034e+002°)
7.94328234724277e+001	(-3.01716128130988e+000dB,1.77894112774676e+002°)
8.12830516164095e+001	(-3.01677466749303e+000dB,1.77844941551344e+002°)
8.31763771102667e+001	(-3.01636985054046e+000dB,1.77794616477579e+002°)
8.51138038202372e+001	(-3.01594597425382e+000dB,1.77743110067418e+002°)
8.70963589956076e+001	(-3.01550214224769e+000dB,1.77690394150963e+002°)
8.91250938133741e+001	(-3.01503741607164e+000dB,1.77636439855311e+002°)
9.12010839355905e+001	(-3.01455081324545e+000dB,1.77581217584809e+002°)
9.33254300796986e+001	(-3.01404130520337e+000dB,1.77524697000610e+002°)
9.54992586021431e+001	(-3.01350781514349e+000dB,1.77466846999490e+002°)
9.77237220955805e+001	(-3.01294921577776e+000dB,1.77407635691894e+002°)
9.99999999999995e+001	(-3.01236432697840e+000dB,1.77347030379171e+002°)
1.02329299228075e+002	(-3.01175191331579e+000dB,1.77284997529951e+002°)
1.04712854805089e+002	(-3.01111068148321e+000dB,1.77221502755638e+002°)
1.07151930523760e+002	(-3.01043927760329e+000dB,1.77156510784953e+002°)
1.09647819614318e+002	(-3.00973628441079e+000dB,1.77089985437487e+002°)
1.12201845430196e+002	(-3.00900021830643e+000dB,1.77021889596222e+002°)
1.14815362149688e+002	(-3.00822952627593e+000dB,1.76952185178940e+002°)
1.17489755493952e+002	(-3.00742258266838e+000dB,1.76880833108486e+002°)
1.20226443461741e+002	(-3.00657768582763e+000dB,1.76807793281810e+002°)
1.23026877081237e+002	(-3.00569305457053e+000dB,1.76733024537721e+002°)
1.25892541179416e+002	(-3.00476682450517e+000dB,1.76656484623284e+002°)
1.28824955169313e+002	(-3.00379704418210e+000dB,1.76578130158783e+002°)
1.31825673855640e+002	(-3.00278167107169e+000dB,1.76497916601171e+002°)
1.34896288259165e+002	(-3.00171856735974e+000dB,1.76415798205918e+002°)
1.38038426460288e+002	(-3.00060549555399e+000dB,1.76331727987163e+002°)
1.41253754462275e+002	(-2.99944011389322e+000dB,1.76245657676074e+002°)
1.44543977074592e+002	(-2.99821997155087e+000dB,1.76157537677313e+002°)
1.47910838816820e+002	(-2.99694250362445e+000dB,1.76067317023483e+002°)
1.51356124843620e+002	(-2.99560502590198e+000dB,1.75974943327451e+002°)
1.54881661891247e+002	(-2.99420472939626e+000dB,1.75880362732401e+002°)
1.58489319246110e+002	(-2.99273867463753e+000dB,1.75783519859495e+002°)
1.62181009735892e+002	(-2.99120378571489e+000dB,1.75684357752986e+002°)
1.65958690743755e+002	(-2.98959684405634e+000dB,1.75582817822618e+002°)
1.69824365246173e+002	(-2.98791448193729e+000dB,1.75478839783167e+002°)
1.73780082874936e+002	(-2.98615317570700e+000dB,1.75372361590906e+002°)
1.77827941003891e+002	(-2.98430923872213e+000dB,1.75263319376834e+002°)
1.81970085860997e+002	(-2.98237881397642e+000dB,1.75151647376443e+002°)
1.86208713666286e+002	(-2.98035786641533e+000dB,1.75037277855792e+002°)
1.90546071796323e+002	(-2.97824217492414e+000dB,1.74920141033670e+002°)
1.94984459975803e+002	(-2.97602732397804e+000dB,1.74800164999568e+002°)
1.99526231496887e+002	(-2.97370869494256e+000dB,1.74677275627202e+002°)
2.04173794466952e+002	(-2.97128145701249e+000dB,1.74551396483271e+002°)
2.08929613085403e+002	(-2.96874055777762e+000dB,1.74422448731150e+002°)
2.13796208950222e+002	(-2.96608071340364e+000dB,1.74290351029163e+002°)
2.18776162394954e+002	(-2.96329639841638e+000dB,1.74155019423069e+002°)
2.23872113856832e+002	(-2.96038183507836e+000dB,1.74016367232366e+002°)
2.29086765276776e+002	(-2.95733098234615e+000dB,1.73874304929990e+002°)
2.34422881531991e+002	(-2.95413752439827e+000dB,1.73728740014944e+002°)
2.39883291901947e+002	(-2.95079485872325e+000dB,1.73579576877367e+002°)
2.45470891568501e+002	(-2.94729608375855e+000dB,1.73426716655509e+002°)
2.51188643150956e+002	(-2.94363398607194e+000dB,1.73270057084044e+002°)
2.57039578276885e+002	(-2.93980102707777e+000dB,1.73109492333091e+002°)
2.63026799189536e+002	(-2.93578932928228e+000dB,1.72944912837298e+002°)
2.69153480392690e+002	(-2.93159066205338e+000dB,1.72776205114252e+002°)
2.75422870333815e+002	(-2.92719642691250e+000dB,1.72603251571451e+002°)
