Freq.	V(vout)
2.95120922666637e+001	(2.89318695820582e-004dB,-7.51392720409707e-002°)
3.01995172040200e+001	(3.10406488967457e-004dB,-7.68896778128735e-002°)
3.09029543251358e+001	(3.32488172222023e-004dB,-7.86808691686289e-002°)
3.16227766016837e+001	(3.55610591303276e-004dB,-8.05137970846996e-002°)
3.23593656929627e+001	(3.79822800187979e-004dB,-8.23894347571781e-002°)
3.31131121482590e+001	(4.05176165238770e-004dB,-8.43087781242542e-002°)
3.38844156139201e+001	(4.31724474235324e-004dB,-8.62728464012029e-002°)
3.46736850452530e+001	(4.59524050554575e-004dB,-8.82826826281944e-002°)
3.54813389233574e+001	(4.88633872711146e-004dB,-9.03393542313041e-002°)
3.63078054770100e+001	(5.19115699580948e-004dB,-9.24439535969799e-002°)
3.71535229097171e+001	(5.51034201511178e-004dB,-9.45975986603836e-002°)
3.80189396320559e+001	(5.84457097604758e-004dB,-9.68014335079071e-002°)
3.89045144994279e+001	(6.19455299486346e-004dB,-9.90566289942976e-002°)
3.98107170553495e+001	(6.56103061897470e-004dB,-1.01364383374662e-001°)
4.07380277804111e+001	(6.94478140331232e-004dB,-1.03725922951861e-001°)
4.16869383470333e+001	(7.34661956121296e-004dB,-1.06142502739618e-001°)
4.26579518801591e+001	(7.76739769390040e-004dB,-1.08615407141762e-001°)
4.36515832240164e+001	(8.20800860073522e-004dB,-1.11145950648038e-001°)
4.46683592150961e+001	(8.66938717529928e-004dB,-1.13735478546986e-001°)
4.57088189614873e+001	(9.15251239097174e-004dB,-1.16385367656202e-001°)
4.67735141287196e+001	(9.65840938038370e-004dB,-1.19097027070606e-001°)
4.78630092322636e+001	(1.01881516128267e-003dB,-1.21871898929096e-001°)
4.89778819368444e+001	(1.07428631744013e-003dB,-1.24711459200108e-001°)
5.01187233627270e+001	(1.13237211563823e-003dB,-1.27617218486665e-001°)
5.12861383991362e+001	(1.19319581557112e-003dB,-1.30590722851315e-001°)
5.24807460249770e+001	(1.25688648939344e-003dB,-1.33633554661698e-001°)
5.37031796370250e+001	(1.32357929600882e-003dB,-1.36747333457090e-001°)
5.49540873857622e+001	(1.39341576824325e-003dB,-1.39933716836750e-001°)
5.62341325190346e+001	(1.46654411370506e-003dB,-1.43194401370446e-001°)
5.75439937337154e+001	(1.54311952971828e-003dB,-1.46531123532038e-001°)
5.88843655355586e+001	(1.62330453325135e-003dB,-1.49945660656549e-001°)
6.02559586074355e+001	(1.70726930642139e-003dB,-1.53439831921581e-001°)
6.16595001861479e+001	(1.79519205826501e-003dB,-1.57015499353664e-001°)
6.30957344480190e+001	(1.88725940373796e-003dB,-1.60674568860362e-001°)
6.45654229034652e+001	(1.98366676045921e-003dB,-1.64418991288834e-001°)
6.60693448007593e+001	(2.08461876443743e-003dB,-1.68250763511642e-001°)
6.76082975391978e+001	(2.19032970526640e-003dB,-1.72171929540726e-001°)
6.91830970918933e+001	(2.30102398202479e-003dB,-1.76184581670228e-001°)
7.07945784384134e+001	(2.41693658071521e-003dB,-1.80290861649251e-001°)
7.24435960074986e+001	(2.53831357431516e-003dB,-1.84492961885272e-001°)
7.41310241300914e+001	(2.66541264645846e-003dB,-1.88793126679439e-001°)
7.58577575029180e+001	(2.79850363997068e-003dB,-1.93193653494429e-001°)
7.76247116628688e+001	(2.93786913135829e-003dB,-1.97696894256198e-001°)
7.94328234724277e+001	(3.08380503247267e-003dB,-2.02305256690571e-001°)
