Freq.	V(vout)
1.51356124843620e+001	(-3.02497101741083e+000dB,1.79524813040965e+002°)
1.54881661891248e+001	(-3.02495228575455e+000dB,1.79513743203754e+002°)
1.58489319246111e+001	(-3.02493267134870e+000dB,1.79502415423141e+002°)
1.62181009735892e+001	(-3.02491213259504e+000dB,1.79490823684145e+002°)
1.65958690743755e+001	(-3.02489062593531e+000dB,1.79478961831200e+002°)
1.69824365246174e+001	(-3.02486810575885e+000dB,1.79466823564842e+002°)
1.73780082874937e+001	(-3.02484452430597e+000dB,1.79454402438325e+002°)
1.77827941003892e+001	(-3.02481983156669e+000dB,1.79441691854148e+002°)
1.81970085860998e+001	(-3.02479397517477e+000dB,1.79428685060501e+002°)
1.86208713666286e+001	(-3.02476690029671e+000dB,1.79415375147627e+002°)
1.90546071796324e+001	(-3.02473854951552e+000dB,1.79401755044095e+002°)
1.94984459975804e+001	(-3.02470886270905e+000dB,1.79387817512980e+002°)
1.99526231496887e+001	(-3.02467777692259e+000dB,1.79373555147953e+002°)
2.04173794466952e+001	(-3.02464522623546e+000dB,1.79358960369278e+002°)
2.08929613085403e+001	(-3.02461114162130e+000dB,1.79344025419705e+002°)
2.13796208950222e+001	(-3.02457545080183e+000dB,1.79328742360270e+002°)
2.18776162394954e+001	(-3.02453807809370e+000dB,1.79313103065985e+002°)
2.23872113856833e+001	(-3.02449894424813e+000dB,1.79297099221432e+002°)
2.29086765276776e+001	(-3.02445796628305e+000dB,1.79280722316237e+002°)
2.34422881531991e+001	(-3.02441505730725e+000dB,1.79263963640445e+002°)
2.39883291901948e+001	(-3.02437012633638e+000dB,1.79246814279766e+002°)
2.45470891568502e+001	(-3.02432307810015e+000dB,1.79229265110720e+002°)
2.51188643150957e+001	(-3.02427381284061e+000dB,1.79211306795649e+002°)
2.57039578276885e+001	(-3.02422222610085e+000dB,1.79192929777610e+002°)
2.63026799189537e+001	(-3.02416820850374e+000dB,1.79174124275137e+002°)
2.69153480392690e+001	(-3.02411164552038e+000dB,1.79154880276881e+002°)
2.75422870333815e+001	(-3.02405241722757e+000dB,1.79135187536102e+002°)
2.81838293126444e+001	(-3.02399039805384e+000dB,1.79115035565030e+002°)
2.88403150312659e+001	(-3.02392545651370e+000dB,1.79094413629089e+002°)
2.95120922666637e+001	(-3.02385745492925e+000dB,1.79073310740959e+002°)
3.01995172040200e+001	(-3.02378624913873e+000dB,1.79051715654500e+002°)
3.09029543251358e+001	(-3.02371168819147e+000dB,1.79029616858517e+002°)
3.16227766016837e+001	(-3.02363361402837e+000dB,1.79007002570362e+002°)
3.23593656929627e+001	(-3.02355186114750e+000dB,1.78983860729376e+002°)
3.31131121482590e+001	(-3.02346625625391e+000dB,1.78960178990155e+002°)
3.38844156139201e+001	(-3.02337661789300e+000dB,1.78935944715645e+002°)
3.46736850452530e+001	(-3.02328275606670e+000dB,1.78911144970061e+002°)
3.54813389233574e+001	(-3.02318447183166e+000dB,1.78885766511608e+002°)
3.63078054770100e+001	(-3.02308155687851e+000dB,1.78859795785020e+002°)
3.71535229097171e+001	(-3.02297379309141e+000dB,1.78833218913901e+002°)
3.80189396320559e+001	(-3.02286095208697e+000dB,1.78806021692855e+002°)
3.89045144994279e+001	(-3.02274279473144e+000dB,1.78778189579411e+002°)
3.98107170553495e+001	(-3.02261907063542e+000dB,1.78749707685725e+002°)
4.07380277804111e+001	(-3.02248951762470e+000dB,1.78720560770068e+002°)
4.16869383470333e+001	(-3.02235386118642e+000dB,1.78690733228065e+002°)
4.26579518801591e+001	(-3.02221181388925e+000dB,1.78660209083708e+002°)
4.36515832240164e+001	(-3.02206307477634e+000dB,1.78628971980113e+002°)
4.46683592150961e+001	(-3.02190732872995e+000dB,1.78597005170020e+002°)
4.57088189614873e+001	(-3.02174424580623e+000dB,1.78564291506034e+002°)
4.67735141287196e+001	(-3.02157348053892e+000dB,1.78530813430579e+002°)
4.78630092322636e+001	(-3.02139467121045e+000dB,1.78496552965574e+002°)
4.89778819368444e+001	(-3.02120743908895e+000dB,1.78461491701814e+002°)
5.01187233627270e+001	(-3.02101138762959e+000dB,1.78425610788040e+002°)
5.12861383991362e+001	(-3.02080610163858e+000dB,1.78388890919692e+002°)
5.24807460249770e+001	(-3.02059114639811e+000dB,1.78351312327334e+002°)
5.37031796370250e+001	(-3.02036606675042e+000dB,1.78312854764734e+002°)
5.49540873857622e+001	(-3.02013038613917e+000dB,1.78273497496590e+002°)
5.62341325190346e+001	(-3.01988360560596e+000dB,1.78233219285884e+002°)
5.75439937337154e+001	(-3.01962520274021e+000dB,1.78191998380854e+002°)
5.88843655355586e+001	(-3.01935463057995e+000dB,1.78149812501561e+002°)
6.02559586074355e+001	(-3.01907131646147e+000dB,1.78106638826049e+002°)
6.16595001861479e+001	(-3.01877466081545e+000dB,1.78062453976060e+002°)
6.30957344480190e+001	(-3.01846403590695e+000dB,1.78017234002308e+002°)
6.45654229034652e+001	(-3.01813878451696e+000dB,1.77970954369277e+002°)
6.60693448007593e+001	(-3.01779821856256e+000dB,1.77923589939524e+002°)
6.76082975391978e+001	(-3.01744161765306e+000dB,1.77875114957484e+002°)
6.91830970918933e+001	(-3.01706822757911e+000dB,1.77825503032723e+002°)
7.07945784384134e+001	(-3.01667725873180e+000dB,1.77774727122646e+002°)
7.24435960074986e+001	(-3.01626788444847e+000dB,1.77722759514616e+002°)
7.41310241300914e+001	(-3.01583923928198e+000dB,1.77669571807461e+002°)
7.58577575029180e+001	(-3.01539041718992e+000dB,1.77615134892347e+002°)
7.76247116628688e+001	(-3.01492046964015e+000dB,1.77559418932979e+002°)
7.94328234724277e+001	(-3.01442840362892e+000dB,1.77502393345106e+002°)
8.12830516164095e+001	(-3.01391317960763e+000dB,1.77444026775285e+002°)
8.31763771102667e+001	(-3.01337370931404e+000dB,1.77384287078886e+002°)
8.51138038202372e+001	(-3.01280885350378e+000dB,1.77323141297279e+002°)
8.70963589956076e+001	(-3.01221741957760e+000dB,1.77260555634180e+002°)
8.91250938133741e+001	(-3.01159815909980e+000dB,1.77196495431109e+002°)
9.12010839355905e+001	(-3.01094976520289e+000dB,1.77130925141900e+002°)
9.33254300796986e+001	(-3.01027086987363e+000dB,1.77063808306245e+002°)
9.54992586021431e+001	(-3.00956004111493e+000dB,1.76995107522188e+002°)
9.77237220955805e+001	(-3.00881577997854e+000dB,1.76924784417534e+002°)
9.99999999999995e+001	(-3.00803651746248e+000dB,1.76852799620114e+002°)
1.02329299228075e+002	(-3.00722061126762e+000dB,1.76779112726832e+002°)
1.04712854805089e+002	(-3.00636634240711e+000dB,1.76703682271442e+002°)
